Date	Speaker	Affiliation	Title	Abstract
"""2015-11-02"""	"""Dr. Karl Broman"""	"""Biostatistics and Medical Informatics, University of Wisconsin Madison"""	"""Interactive graphics for genetic data"""	"""The value of interactive graphics for making sense of high-dimensional data has long been appreciated but is still not in routine use. I will describe my efforts to develop interactive graphical tools for genetic data, using JavaScript and D3. (The tools are available as an R package: R/qtlcharts, http://kbroman.org/qtlcharts) I will focus on an expression genetics experiment in the mouse, with gene expression microarray data on each of six tissues, plus high-density genotype data, in each of 500 mice. I argue that in research with such data, precise statistical inference is not so important as data visualization."""
"""2015-11-04"""	"""Dr. Karl Broman"""	"""Biostatistics and Medical Informatics, University of Wisconsin Madison"""	"""Reproducible Research"""	"""A minimal standard for data analysis and other scientific computations is that they be reproducible: that the code and data are assembled in a way so that another group can re-create all of the results (e.g., the figures in a paper). I will discuss my personal struggles to make my work reproducible and will present a series of suggested steps on the path towards reproducibility (see http://kbroman.org/steps2rr)."""
"""2016-01-25"""	"""Ethan Willis """	"""Center of Biomedical Inforamatics, UTHSC"""	"""Causal Inference in Rare Diseases, In Practice"""	"""This presentation will give an overview of how researchers can measure the impact of medical interventions on patients with rare diseases using longitudinal data. In the United States, rare diseases affect 30 million patients in approximately 7000 disease areas. Causal inference to inform therapy decisions in this area is challenged by several factors: the patient population is small, the genotype or phenotype is variable, and the disease pathways can be uncharacterized or lengthy. These challenges are not specific to the rare disease setting as they apply more largely to answering causal inference questions in the era of precision medicine where public health decisions rely on subgroups of sample sizes. In 2019, the Food and Drug Administration published documents guiding best practices on data collection, study design and use of registry data in the rare diseases setting. Over the past few years, a few algorithms were published to guide researchers to appropriate study design. This presentation will give an overview of best design practices and innovative analysis methods and illustrate their use with case studies in rare diseases."""
"""2016-02-29"""	"""Dr. Arzu-Onar Thomas """	"""St. Jude Children's Research Hospital"""	"""A critical look at non-inferiority trials: benefits and pitfalls"""	"""Non-inferiority trials have the potential to be extremely useful and are designs of choice when placebo controlled trials are not ethical or when a new treatment is thought to be similar in primary outcome to standard of care but may have advantages in secondary endpoints such as quality of life, cost, compliance etc. Designing and conducting non-inferiority trials however can be a lot more challenging compared to a superiority trial as the sources of bias are more abundant and lurk at unusual places such as in intent-to-treat populations etc. Furthermore full interpretation of results may rely on information outside of the trial itself making non-inferiority trials vulnerable to hazards of non-randomized trials. In this talk, I will try to outline some of the issues that need to be taken into account when designing and running a non-inferiority trial and provide guidance regarding best-practices. I will also discuss potential biases that may be present and discuss proper ways of analyzing the data and interpreting the results. The talk will primarily focus on conceptual aspects rather than mathematical details and is intended for statisticians, physician scientists as well as others involved in operational aspects of clinical trials."""
"""2016-03-16"""	"""Dr. Charisse Madlock-Brown """	"""Informatics and Information Management, UTHSC"""	"""Exploring the UTHSC co-authorship Network with D3"""	"""The D3 JavaScript library is currently having a huge impact on academic data analysis. The D3 library can allow researchers to build interactive data visualizations for exploration using a wide variety of charts, networks, and graphs. These visualizations can further help researchers communicate their findings in presentations, and answers questions with on-the-fly interactive investigation of their data. In this presentation, I will go over the basics of the D3 library. I will also demonstrate its potential by exploring a collaborative network visualization of UTHSC researchers. I will explore the co-authorship patterns between basic and clinical scientists, investigate sub-structures, and explore the publication history of prominent co-authorship communities using the network as a guide for exploration."""
"""2016-04-04"""	"""Dr. Jonathan S. Schildcrout """	"""Vanderbilt University"""	"""Epidemiological sampling designs for longitudinal binary data with application to spirometery-based COPD diagnosis"""	"""We discuss an epidemiological study design and analyses approach for longitudinal binary response data.  Similar to other epidemiological study designs, we seek to gain efficiency and increase power compared to standard designs by over-sampling relatively informative subjects for inclusion into the sample.  In particular, we will discuss a design that conducts a case-control sample (i.e., sample cases with high probability and controls with low probability); however, subjects are then followed longitudinally and case-control status is observed repeatedly for each subject. If the sampling variable (case-control status at baseline) is closely related to the binary response (case-control status over time), we are able to observe a sample that is highly enriched with case-visits compared to a standard random sampling design.  We may therefore realize a substantial improvements in power and efficiency.  However, because the design over-samples case-days, we must acknowledge the non-representativeness of the sample when conducting statistical analyses.  We will describe a sequentially offsetted regression approach for valid inferences.  Motivated by data provided by the Lung Health Study we will show that targeted sampling designs can yield valid inferences and can be far more resource efficient than standard random sampling designs for longitudinal data."""
"""2016-04-18"""	"""Dr. Stanley Pounds """	"""St. Jude Children's Research Hospital """	"""Profiling Dialysis Facilities for Adverse Recurrent Events"""	"""Profiling analysis aims to evaluate health care providers, such as hospitals, nursing homes, or dialysis facilities, with respect to a patient outcome. Previous profiling methods have considered binary outcomes, such as 30-day hospital readmission or mortality. For the unique population of dialysis patients, regular blood works are required to evaluate effectiveness of treatment and avoid adverse events, including dialysis inadequacy, imbalance mineral levels, and anemia among others. For example, anemic events (when hemoglobin levels exceed normative range) are recurrent and common for patients on dialysis. Thus, we propose high-dimensional Poisson and negative binomial regression models for rate/count outcomes and introduce a standardized event ratio (SER) measure to compare the event rate at a specific facility relative to a chosen normative standard, typically defined as an ?average? national rate across all facilities. Our proposed estimation and inference procedures overcome the challenge of high-dimensional parameters for thousands of dialysis facilities. Also, we investigate how overdispersion affects inference in the context of profiling analysis. (manuscript: https://onlinelibrary.wiley.com/doi/epdf/10.1002/sim.8482)"""
"""2016-04-25"""	"""Dr. Parichoy Pal Chounhury """	"""Johns Hopkins Bloomberg School of Public Health """	"""Causal Effect Among The Treated: Multiple Data Sources and Censored Outcomes"""	"""We develop an inferential framework for estimating the causal effect among ""exposed"" subjects on a time-to-event outcome, based on multiple data sources and censored outcome information. We conceptualize a hypothetical point exposure study where subjects are enrolled and allowed to select their own exposure. Using information from two data sources (one for exposed subjects and one for non-exposed subjects with multiple examination times), we describe a process of manufacturing a dataset that closely mimics this hypothetical study. The identification of the causal effect relies on a no unmeasured confounding assumption based on covariates available at exposure selection and a non-informative censoring assumption. Estimation proceeds by fitting separate proportional hazards regression models for exposed and non-exposed subjects using the manufactured dataset and using G-computation to estimate, for exposed subjects, the distributions of time-to-event under exposure and non-exposure. Using these estimated distributions, we compute a parsimonious measure of the causal effect of interest."""
"""2016-05-23"""	"""Dr. Hyeonju Kim """	"""Preventive Medicine, UTHSC"""	"""Probabilities of Ruin in Economics and Insurance under Light- and Heavy-tailed Distributions"""	"""This research is conducted on ruin problems in two fields. First, the ruin or survival of an economic agent over finite and infinite time horizons is explored for a one-good economy. A recursive relation derived for the intractable ruin distribution is used to compute its moments. A new system of Chebyshev inequalities, using an optimal allocation of different orders of moments over different ranges of the initial stock, provide good conservative estimates of the true ruin distribution. The second part of the research is devoted to the study of ruin probabilities in the general renewal model of insurance under both light- and heavy-tailed claim size distributions. Recent results on the dual problem of equilibrium of the Lindley-Spitzer Markov process provide clues to the orders of magnitude of finite time ruin probabilities in insurance."""
"""2016-08-22"""	"""Dr. Fridtjof Thomas """	"""Preventive Medicine, UTHSC"""	"""R for power users: Compiled R code and parallel computing techniques"""	"""This seminar will demonstrate how to harness the power of R for large numerical computations with focus on simulation studies or other repetitive computational tasks.  I will outline how to write R code with speedy execution in mind and how to investigate where computation time is spent in your R function by profiling your R execution.  A life demonstration will show how R code can be compiled for faster execution as well as demonstrate how to create and utilize multiple cores that your hardware provides.  We will specifically address (pseudo) random number generation and repeatability of parallel/distributed computing as a cornerstone of reproducible research.  All techniques are demonstrated in a Windows 10 environment but are generally applicable to UNIX and Macintosh systems as well."""
